k;obj;time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50
1;1,52290941855773;420,692685599905;Budapest 09. kerület;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1,22226711652056;704,413418499986;Budapest 09. kerület;Tiszaújváros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1,07577751230518;765,128191199969;Budapest 09. kerület;Sárvár;Tiszaújváros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0,957991540512854;1024,99444209994;Budapest 09. kerület;Pécs;Sárvár;Tiszaújváros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0,853449083285542;758,704288900015;Budapest 06. kerület;Hódmezővásárhely;Pécs;Sárvár;Tiszaújváros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;0,805053869555988;1227,02252580004;Budapest 06. kerület;Hódmezővásárhely;Pécs;Sárvár;Székesfehérvár;Tiszaújváros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;0,760696050224258;1898,92317550001;Békéscsaba;Budapest 06. kerület;Győr;Kecskemét;Keszthely;Pécs;Tiszaújváros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;0,718713403373169;938,961719500017;Békéscsaba;Budapest 06. kerület;Füzesabony;Győr;Kecskemét;Keszthely;Nagykálló;Pécs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;0,679817464150964;834,317354600062;Békéscsaba;Budapest 06. kerület;Füzesabony;Győr;Kecskemét;Nagykálló;Pécs;Székesfehérvár;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;0,646489750841991;1170,60154209996;Békéscsaba;Budapest 06. kerület;Cegléd;Győr;Miskolc;Nagykálló;Pécs;Szeged;Székesfehérvár;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;0,613893585418485;794,923858699971;Békéscsaba;Budapest 06. kerület;Cegléd;Debrecen;Győr;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;0,585381073307111;658,623966999934;Békéscsaba;Budapest 06. kerület;Debrecen;Győr;Hatvan;Kecskemét;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;0,561229057191258;582,527005999931;Békéscsaba;Budapest 06. kerület;Debrecen;Győr;Hatvan;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szombathely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;0,541350100337049;545,273169800057;Békéscsaba;Budapest 06. kerület;Debrecen;Győr;Hatvan;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;0,522689710214632;514,594690599945;Békéscsaba;Budapest 13. kerület;Budapest 22. kerület;Debrecen;Győr;Hatvan;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;0,505213066029335;398,508123200038;Békéscsaba;Budapest 13. kerület;Budapest 22. kerület;Debrecen;Győr;Hatvan;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szekszárd;Szolnok;Szombathely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;0,490979669657799;393,430715600029;Békéscsaba;Budapest 13. kerület;Budapest 22. kerület;Debrecen;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;Tolna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0,478468456839244;417,59008419991;Békéscsaba;Budapest 13. kerület;Budapest 22. kerület;Debrecen;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;Tolna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;0,466613169520014;422,369212000049;Békéscsaba;Budapest 13. kerület;Budapest 22. kerület;Debrecen;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;Tolna;Vásárosnamény;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;0,454850458818806;420,333245099988;Békéscsaba;Budapest 13. kerület;Budapest 22. kerület;Debrecen;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;Tolna;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;0,443921472205795;368,768001500052;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Szeged;Székesfehérvár;Szolnok;Szombathely;Tolna;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;0,433782758076763;348,720886299969;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szolnok;Szombathely;Tolna;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;0,42420488407599;360,545461699949;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szolnok;Szombathely;Tatabánya;Tolna;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;0,415888432810874;310,901839099941;Baja;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Dunaújváros;Füzesabony;Győr;Hatvan;Kaposvár;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szolnok;Szombathely;Tatabánya;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;;;
25;0,408092198165183;554,220200600103;Baja;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Dunaújváros;Eger;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szolnok;Szombathely;Tatabánya;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;;
26;0,400693797015611;767,491399300052;Baja;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Dunaújváros;Eger;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Keszthely;Miskolc;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;;;;;;;;;;;;;;;;;;;;;;;;
27;0,393362835636573;595,478067800053;Baja;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Dunaújváros;Eger;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Miskolc;Nagykanizsa;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;;;
28;0,386364306117045;282,432153100031;Baja;Békéscsaba;Budapest 13. kerület;Budapest 18. kerület;Budapest 22. kerület;Debrecen;Dunaújváros;Eger;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Miskolc;Nagykanizsa;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;;
29;0,37988858075914;299,676624999964;Baja;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Eger;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Miskolc;Nagykanizsa;Nyíregyháza;Pécs;Sopron;Szeged;Székesfehérvár;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;;
30;0,373516071338673;278,757386600017;Baja;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pécs;Sopron;Szeged;Székesfehérvár;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;;;;
31;0,367290708934946;258,410096400068;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Kiskunhalas;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pécs;Sopron;Szeged;Székesfehérvár;Szekszárd;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;;;
32;0,361388331705487;266,909847700037;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Kiskunhalas;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pécs;Salgótarján;Sopron;Szeged;Székesfehérvár;Szekszárd;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;;
33;0,35566742393071;239,880163199967;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Kiskunhalas;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pécs;Salgótarján;Sopron;Sümeg;Szeged;Székesfehérvár;Szekszárd;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Vásárosnamény;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;;
34;0,350239251390092;263,75671039999;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Kiskunhalas;Kisvárda;Mátészalka;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pécs;Salgótarján;Sopron;Sümeg;Szeged;Székesfehérvár;Szekszárd;Szerencs;Szolnok;Szombathely;Tatabánya;Vác;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;;
35;0,345044617584482;219,052828899934;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Esztergom;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Kiskunhalas;Kisvárda;Mátészalka;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pécs;Salgótarján;Sopron;Sümeg;Szeged;Székesfehérvár;Szekszárd;Szerencs;Szolnok;Szombathely;Tata;Vác;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;;
36;0,339914238199316;242,205554499989;Békéscsaba;Budapest 11. kerület;Budapest 13. kerület;Budapest 17. kerület;Budapest 19. kerület;Debrecen;Dunaújváros;Esztergom;Füzesabony;Győr;Hatvan;Kaposvár;Karcag;Kecskemét;Keszthely;Kiskunhalas;Kisvárda;Mátészalka;Miskolc;Nagykanizsa;Nyíregyháza;Ózd;Pápa;Pécs;Salgótarján;Sopron;Szeged;Székesfehérvár;Szekszárd;Szerencs;Szolnok;Szombathely;Tata;Vác;Veszprém;Zalaegerszeg;;;;;;;;;;;;;;
