Var1;Var2;Duration
Aba;Sárkeresztúr;0,150027777777778
Sárkeresztúr;Sárszentágota;0,0780833333333333
Sárszentágota;Sárbogárd;0,210972222222222
Sárbogárd;Alap;0,356861111111111
Alap;Alsószentiván;0,2725
Alsószentiván;Előszállás;0,19725
Előszállás;Nagykarácsony;0,150333333333333
Nagykarácsony;Mezőfalva;0,189583333333333
Mezőfalva;Hantos;0,166277777777778
Hantos;Nagylók;0,128472222222222
Nagylók;Sárosd;0,208527777777778
Sárosd;Seregélyes;0,225083333333333
Seregélyes;Szabadegyháza;0,134722222222222
Szabadegyháza;Zichyújfalu;0,130916666666667
Zichyújfalu;Gárdony;0,153666666666667
Gárdony;Pákozd;0,302861111111111
Pákozd;Sukoró;0,14025
Sukoró;Nadap;0,158944444444444
Nadap;Pázmánd;0,0921666666666667
Pázmánd;Vereb;0,116444444444444
Vereb;Lovasberény;0,119444444444444
Lovasberény;Pátka;0,215083333333333
Pátka;Székesfehérvár;0,297722222222222
Székesfehérvár;Sárkeresztes;0,253
Sárkeresztes;Magyaralmás;0,179777777777778
Magyaralmás;Moha;0,157361111111111
Moha;Iszkaszentgyörgy;0,0943055555555556
Iszkaszentgyörgy;Isztimér;0,211638888888889
Isztimér;Bakonykúti;0,137277777777778
Bakonykúti;Kincsesbánya;0,216916666666667
Kincsesbánya;Fehérvárcsurgó;0,119388888888889
Fehérvárcsurgó;Bodajk;0,114861111111111
Bodajk;Csókakő;0,157861111111111
Csókakő;Söréd;0,174222222222222
Söréd;Csákberény;0,132694444444444
Csákberény;Zámoly;0,198638888888889
Zámoly;Gánt;0,257888888888889
Gánt;Csákvár;0,145722222222222
Csákvár;Vértesboglár;0,224388888888889
Vértesboglár;Bodmér;0,191277777777778
Bodmér;Felcsút;0,144583333333333
Felcsút;Óbarok;0,161222222222222
Óbarok;Újbarok;0,212916666666667
Újbarok;Szár;0,135
Szár;Szárliget;0,0838888888888889
Szárliget;Tatabánya;0,166305555555556
Tatabánya;Vértessomló;0,293138888888889
Vértessomló;Várgesztes;0,132416666666667
Várgesztes;Környe;0,302527777777778
Környe;Tata;0,146833333333333
Tata;Vértesszőlős;0,219111111111111
Vértesszőlős;Baj;0,288444444444444
Baj;Szomód;0,314972222222222
Szomód;Dunaszentmiklós;0,169138888888889
Dunaszentmiklós;Neszmély;0,107944444444444
Neszmély;Dunaalmás;0,247027777777778
Dunaalmás;Almásfüzitő;0,154194444444444
Almásfüzitő;Naszály;0,096
Naszály;Mocsa;0,144666666666667
Mocsa;Kocs;0,173444444444444
Kocs;Dad;0,212944444444444
Dad;Kömlőd;0,135305555555556
Kömlőd;Kecskéd;0,142555555555556
Kecskéd;Oroszlány;0,219583333333333
Oroszlány;Bokod;0,265722222222222
Bokod;Pusztavám;0,143111111111111
Pusztavám;Mór;0,294527777777778
Mór;Nagyveleg;0,242388888888889
Nagyveleg;Balinka;0,27175
Balinka;Bakonycsernye;0,117638888888889
Bakonycsernye;Súr;0,15225
Súr;Csatka;0,221055555555556
Csatka;Ácsteszér;0,249722222222222
Ácsteszér;Aka;0,264
Aka;Bakonysárkány;0,114944444444444
Bakonysárkány;Vérteskethely;0,143972222222222
Vérteskethely;Császár;0,0964444444444444
Császár;Szákszend;0,190777777777778
Szákszend;Nagyigmánd;0,180388888888889
Nagyigmánd;Kisigmánd;0,107222222222222
Kisigmánd;Csém;0,155555555555556
Csém;Komárom;0,114277777777778
Komárom;Ács;0,302055555555556
Ács;Nagyszentjános;0,305361111111111
Nagyszentjános;Gönyű;0,151194444444444
Gönyű;Kisbajcs;0,254888888888889
Kisbajcs;Vének;0,09025
Vének;Nagybajcs;0,178138888888889
Nagybajcs;Vámosszabadi;0,0748611111111111
Vámosszabadi;Győr;0,251416666666667
Győr;Győrújfalu;0,21575
Győrújfalu;Győrzámoly;0,141361111111111
Győrzámoly;Győrladamér;0,170805555555556
Győrladamér;Dunaszeg;0,193333333333333
Dunaszeg;Dunaszentpál;0,165638888888889
Dunaszentpál;Ásványráró;0,281888888888889
Ásványráró;Hédervár;0,166638888888889
Hédervár;Darnózseli;0,123555555555556
Darnózseli;Lipót;0,120388888888889
Lipót;Dunaremete;0,1205
Dunaremete;Kisbodak;0,156972222222222
Kisbodak;Püski;0,0808888888888889
Püski;Halászi;0,11675
Halászi;Dunasziget;0,0968055555555556
Dunasziget;Dunakiliti;0,18925
Dunakiliti;Feketeerdő;0,124055555555556
Feketeerdő;Bezenye;0,23175
Bezenye;Rajka;0,172916666666667
Rajka;Hegyeshalom;0,156805555555556
Hegyeshalom;Levél;0,177083333333333
Levél;Mosonmagyaróvár;0,180416666666667
Mosonmagyaróvár;Máriakálnok;0,113666666666667
Máriakálnok;Kimle;0,274805555555556
Kimle;Mecsér;0,236166666666667
Mecsér;Öttevény;0,167138888888889
Öttevény;Kunsziget;0,145638888888889
Kunsziget;Mosonszentmiklós;0,191388888888889
Mosonszentmiklós;Lébény;0,146305555555556
Lébény;Tárnokréti;0,125083333333333
Tárnokréti;Rábcakapi;0,124472222222222
Rábcakapi;Cakóháza;0,0477777777777778
Cakóháza;Markotabödöge;0,0582777777777778
Markotabödöge;Fehértó;0,0916944444444445
Fehértó;Győrsövényház;0,0943888888888889
Győrsövényház;Bezi;0,0808611111111111
Bezi;Enese;0,0457777777777778
Enese;Rábapatona;0,144583333333333
Rábapatona;Ikrény;0,243277777777778
Ikrény;Abda;0,204694444444444
Abda;Börcs;0,35
Börcs;Károlyháza;0,2675
Károlyháza;Mosonudvar;0,150277777777778
Mosonudvar;Újrónafő;0,127611111111111
Újrónafő;Mosonszolnok;0,167027777777778
Mosonszolnok;Várbalog;0,223805555555556
Várbalog;Jánossomorja;0,251277777777778
Jánossomorja;Bősárkány;0,321222222222222
Bősárkány;Acsalag;0,143416666666667
Acsalag;Maglóca;0,156916666666667
Maglóca;Barbacs;0,0913333333333333
Barbacs;Bágyogszovát;0,163555555555556
Bágyogszovát;Bodonhely;0,09925
Bodonhely;Kisbabot;0,0879722222222222
Kisbabot;Rábaszentmiklós;0,0778333333333333
Rábaszentmiklós;Mórichida;0,133222222222222
Mórichida;Árpás;0,127944444444444
Árpás;Egyed;0,0706944444444444
Egyed;Sobor;0,11525
Sobor;Rábaszentandrás;0,1105
Rábaszentandrás;Szany;0,0696388888888889
Szany;Rábasebes;0,147277777777778
Rábasebes;Vág;0,0975277777777778
Vág;Páli;0,1145
Páli;Edve;0,108111111111111
Edve;Rábakecöl;0,109
Rábakecöl;Vásárosfalu;0,0866944444444444
Vásárosfalu;Beled;0,103388888888889
Beled;Vadosfa;0,0818055555555556
Vadosfa;Mihályi;0,0980833333333333
Mihályi;Kisfalud;0,105083333333333
Kisfalud;Babót;0,136
Babót;Veszkény;0,0983611111111111
Veszkény;Kapuvár;0,215888888888889
Kapuvár;Osli;0,108972222222222
Osli;Szárföld;0,186111111111111
Szárföld;Rábatamási;0,145166666666667
Rábatamási;Farád;0,239333333333333
Farád;Csorna;0,0775277777777778
Csorna;Jobaháza;0,252055555555556
Jobaháza;Bogyoszló;0,0711388888888889
Bogyoszló;Sopronnémeti;0,0953888888888889
Sopronnémeti;Potyond;0,0956944444444444
Potyond;Magyarkeresztúr;0,0634444444444444
Magyarkeresztúr;Zsebeháza;0,0515833333333333
Zsebeháza;Szil;0,124138888888889
Szil;Rábacsanak;0,139055555555556
Rábacsanak;Szilsárkány;0,0991111111111111
Szilsárkány;Pásztori;0,0747777777777778
Pásztori;Rábapordány;0,106805555555556
Rábapordány;Dör;0,165972222222222
Dör;Kóny;0,248972222222222
Kóny;Mérges;0,225416666666667
Mérges;Rábacsécsény;0,0809722222222222
Rábacsécsény;Rábaszentmihály;0,119944444444444
Rábaszentmihály;Tét;0,1405
Tét;Koroncó;0,202277777777778
Koroncó;Győrszemere;0,192805555555556
Győrszemere;Felpéc;0,141027777777778
Felpéc;Kajárpéc;0,157138888888889
Kajárpéc;Gyömöre;0,257472222222222
Gyömöre;Szerecseny;0,140583333333333
Szerecseny;Gecse;0,0675833333333334
Gecse;Vaszar;0,134472222222222
Vaszar;Takácsi;0,122583333333333
Takácsi;Gyarmat;0,0898888888888889
Gyarmat;Csikvánd;0,0921111111111111
Csikvánd;Malomsok;0,118972222222222
Malomsok;Marcaltő;0,192416666666667
Marcaltő;Várkesző;0,149111111111111
Várkesző;Egyházaskesző;0,0641944444444444
Egyházaskesző;Nemesgörzsöny;0,12125
Nemesgörzsöny;Nagyacsád;0,132833333333333
Nagyacsád;Mezőlak;0,263666666666667
Mezőlak;Békás;0,122916666666667
Békás;Mihályháza;0,129833333333333
Mihályháza;Pápadereske;0,168111111111111
Pápadereske;Nyárád;0,103027777777778
Nyárád;Dáka;0,120833333333333
Dáka;Pápasalamon;0,125472222222222
Pápasalamon;Bakonypölöske;0,246611111111111
Bakonypölöske;Kup;0,148083333333333
Kup;Pápakovácsi;0,124138888888889
Pápakovácsi;Nóráp;0,109527777777778
Nóráp;Döbrönte;0,203361111111111
Döbrönte;Ganna;0,0748611111111111
Ganna;Bakonyjákó;0,333194444444445
Bakonyjákó;Németbánya;0,0801944444444444
Németbánya;Farkasgyepű;0,232388888888889
Farkasgyepű;Csehbánya;0,309055555555556
Csehbánya;Városlőd;0,136166666666667
Városlőd;Kislőd;0,0995833333333333
Kislőd;Magyarpolány;0,23125
Magyarpolány;Noszlop;0,235138888888889
Noszlop;Oroszi;0,135472222222222
Oroszi;Doba;0,219805555555556
Doba;Somlószőlős;0,178138888888889
Somlószőlős;Kisszőlős;0,0805
Kisszőlős;Vid;0,0455833333333333
Vid;Somlóvecse;0,0646111111111111
Somlóvecse;Nagyalásony;0,0869166666666667
Nagyalásony;Dabrony;0,09525
Dabrony;Nemesszalók;0,0903055555555556
Nemesszalók;Marcalgergelyi;0,136333333333333
Marcalgergelyi;Vinár;0,0857777777777778
Vinár;Szergény;0,0772777777777778
Szergény;Kemenesmagasi;0,123888888888889
Kemenesmagasi;Kemeneshőgyész;0,198666666666667
Kemeneshőgyész;Magyargencs;0,153055555555556
Magyargencs;Kemenesszentpéter;0,167583333333333
Kemenesszentpéter;Pápoc;0,172
Pápoc;Kenyeri;0,164333333333333
